Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT,0.9996278319661327,0.9989559180463463,0.9982849067926208,0.9996278319661327,cam
LightGBMXT,0.9902740937223696,0.991466716075307,0.9926622145271663,0.9902740937223696,light
LightGBMXT,0.9956828143116762,0.9966252922003095,0.9975695560114355,0.9956828143116762,plug
LightGBMXT,0.9951949133333929,0.9956826421073209,0.9961722257770743,0.9951949133333929,all
LightGBM,0.9997092437235412,0.9992734261926952,0.9988379884805925,0.9997092437235412,cam
LightGBM,0.9951062036066046,0.9952187548198037,0.9953313314960306,0.9951062036066046,light
LightGBM,0.9970149744669303,0.9978930041152264,0.9987725816150849,0.9970149744669303,plug
LightGBM,0.997276807265692,0.9974617283759084,0.9976473005305694,0.997276807265692,all
ExtraTreesGini,0.9994998992044908,0.9955362486726518,0.9916039107391481,0.9994998992044908,cam
ExtraTreesGini,0.9635843974256163,0.9766375591355271,0.9900492256987725,0.9635843974256163,light
ExtraTreesGini,0.9885861833611552,0.9916604800791885,0.9947539572869519,0.9885861833611552,plug
ExtraTreesGini,0.9838901599970874,0.9879447626291223,0.9921356979082908,0.9838901599970874,all
ExtraTreesEntr,0.9994727619520213,0.9959110829546047,0.9923746983175066,0.9994727619520213,cam
ExtraTreesEntr,0.9653938683609895,0.9774733510992671,0.9898589530054184,0.9653938683609895,light
ExtraTreesEntr,0.9892440402279474,0.9918662989392796,0.9945024966105618,0.9892440402279474,plug
ExtraTreesEntr,0.9847035568469861,0.9884169109977171,0.9922453826444956,0.9847035568469861,all
XGBoost,0.999515406205902,0.9986946079950417,0.9978751567507315,0.999515406205902,cam
XGBoost,0.9916928834330598,0.9928054592052039,0.9939205341686588,0.9916928834330598,light
XGBoost,0.9955183500949781,0.9968093734432831,0.9981037496289945,0.9955183500949781,plug
XGBoost,0.99557554657798,0.9961031468811763,0.9966331468494616,0.99557554657798,all
LightGBMLarge,0.9992789244343822,0.9954122417455107,0.9915753677602018,0.9992789244343822,cam
LightGBMLarge,0.9673678366541237,0.9803598778874105,0.9937056437985806,0.9673678366541237,light
LightGBMLarge,0.9905268611181922,0.9934473956593637,0.9963852033219733,0.9905268611181922,plug
LightGBMLarge,0.985724540735566,0.9897398384307617,0.9938887382935851,0.985724540735566,all
WeightedEnsemble_L2,0.9997092437235412,0.9992734261926952,0.9988379884805925,0.9997092437235412,cam
WeightedEnsemble_L2,0.9951062036066046,0.9952187548198037,0.9953313314960306,0.9951062036066046,light
WeightedEnsemble_L2,0.9970149744669303,0.9978930041152264,0.9987725816150849,0.9970149744669303,plug
WeightedEnsemble_L2,0.997276807265692,0.9974617283759084,0.9976473005305694,0.997276807265692,all
