Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT,0.9995813109618993,0.9993411108096586,0.999101026070244,0.9995813109618993,cam
LightGBMXT,0.9658374358926453,0.9685676880235888,0.9713134197954784,0.9658374358926453,iot_noise
LightGBMXT,0.9846191807863135,0.9873702225933831,0.9901366803829532,0.9846191807863135,light
LightGBMXT,0.9743757414967258,0.9702629981651291,0.966184827867296,0.9743757414967258,network_noise
LightGBMXT,0.9936846260114466,0.9955716669069637,0.9974658885486227,0.9936846260114466,plug
LightGBMXT,0.9836196590298061,0.9842227372997447,0.9848403685329188,0.9836196590298061,all
LightGBM,0.9987400561353451,0.9984284681730894,0.9981170745692711,0.9987400561353451,cam
LightGBM,0.9737685315795865,0.9699967198088649,0.96625401489625,0.9737685315795865,iot_noise
LightGBM,0.9826040467182102,0.9840305591878339,0.9854612196077622,0.9826040467182102,light
LightGBM,0.9696441749885564,0.9722781644294987,0.9749265030478927,0.9696441749885564,network_noise
LightGBM,0.9924840471021643,0.9946310328771979,0.9967873277008333,0.9924840471021643,plug
LightGBM,0.9834481713047726,0.9838729888952968,0.9843092279644019,0.9834481713047726,all
ExtraTreesGini,0.9952626110688976,0.99084516283414,0.9864667547877409,0.9952626110688976,cam
ExtraTreesGini,0.866876231935505,0.9048086837608504,0.9462127121538877,0.866876231935505,iot_noise
ExtraTreesGini,0.8710931074189834,0.9246837722505374,0.9853006163507385,0.8710931074189834,light
ExtraTreesGini,0.9708726073593842,0.9162108195550698,0.8673760640961442,0.9708726073593842,network_noise
ExtraTreesGini,0.959797052825472,0.9768997062245247,0.9946229228802727,0.959797052825472,plug
ExtraTreesGini,0.9327803221216484,0.9426896289250244,0.9559958140537568,0.9327803221216484,all
ExtraTreesEntr,0.9953285158248949,0.9918390762413779,0.9883740178547368,0.9953285158248949,cam
ExtraTreesEntr,0.8503601221893187,0.9000981393083775,0.9560160266340393,0.8503601221893187,iot_noise
ExtraTreesEntr,0.9109639743378846,0.9454320408032608,0.9826110100696447,0.9109639743378846,light
ExtraTreesEntr,0.9758563995254421,0.9162513184063784,0.8635084253293049,0.9758563995254421,network_noise
ExtraTreesEntr,0.9738750740082889,0.983838207623581,0.994007302026942,0.9738750740082889,plug
ExtraTreesEntr,0.9412768171771658,0.9474917564765951,0.9569033563829337,0.9412768171771658,all
XGBoost,0.9992168964287376,0.9990309927285694,0.9988451581900761,0.9992168964287376,cam
XGBoost,0.9788037030463255,0.9743323887082039,0.9699017398025539,0.9788037030463255,iot_noise
XGBoost,0.9845369304161868,0.9873488199449411,0.9901768172888016,0.9845369304161868,light
XGBoost,0.9733715097106879,0.9763151298791044,0.9792766079425572,0.9733715097106879,network_noise
XGBoost,0.9935366094335899,0.9955546033956403,0.9975808116253148,0.9935366094335899,plug
XGBoost,0.9858931298071054,0.9865163869312917,0.9871562269698607,0.9858931298071054,all
LightGBMLarge,0.9993448291903795,0.9993215844685487,0.9992983408280354,0.9993448291903795,cam
LightGBMLarge,0.9830915392304315,0.9776097392176762,0.9721887341509042,0.9830915392304315,iot_noise
LightGBMLarge,0.9850304326369469,0.9891696005451336,0.993343701399689,0.9850304326369469,light
LightGBMLarge,0.9756835782413332,0.9793752080529989,0.9830948795180723,0.9756835782413332,network_noise
LightGBMLarge,0.9946385106243011,0.9962441933252069,0.9978550686378036,0.9946385106243011,plug
LightGBMLarge,0.9875577779846785,0.9883440651219129,0.9891561449069008,0.9875577779846785,all
WeightedEnsemble_L2,0.9993448291903795,0.9993215844685487,0.9992983408280354,0.9993448291903795,cam
WeightedEnsemble_L2,0.9830915392304315,0.9776097392176762,0.9721887341509042,0.9830915392304315,iot_noise
WeightedEnsemble_L2,0.9850304326369469,0.9891696005451336,0.993343701399689,0.9850304326369469,light
WeightedEnsemble_L2,0.9756835782413332,0.9793752080529989,0.9830948795180723,0.9756835782413332,network_noise
WeightedEnsemble_L2,0.9946385106243011,0.9962441933252069,0.9978550686378036,0.9946385106243011,plug
WeightedEnsemble_L2,0.9875577779846785,0.9883440651219129,0.9891561449069008,0.9875577779846785,all
