Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-1
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-2
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-3
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-4
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-5
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-6
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-7
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-8
LightGBMXT_BAG_L1,1.0,0.6666666666666666,0.5,1.0,noise
LightGBMXT_BAG_L1,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.1111111111111111,all
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-1
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-2
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-3
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-4
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-5
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-6
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-7
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-8
LightGBM_BAG_L1,1.0,0.6666666666666666,0.5,1.0,noise
LightGBM_BAG_L1,0.1111111111111111,0.07407407407407407,0.05555555555555555,0.1111111111111111,all
ExtraTreesGini_BAG_L1,0.028694052728387494,0.028430836522689996,0.028172405490007223,0.028694052728387494,cam-1
ExtraTreesGini_BAG_L1,0.012591038143439082,0.01335515548281506,0.014218009478672985,0.012591038143439082,cam-2
ExtraTreesGini_BAG_L1,0.015472211907414284,0.016677785190126755,0.01808710750976704,0.015472211907414284,cam-3
ExtraTreesGini_BAG_L1,0.006452429149797571,0.007867941993211973,0.01007905138339921,0.006452429149797571,cam-4
ExtraTreesGini_BAG_L1,0.022279665189561794,0.021938064359735773,0.021606780470335443,0.022279665189561794,cam-5
ExtraTreesGini_BAG_L1,0.01730745456793176,0.01744439598778892,0.017583521728208994,0.01730745456793176,cam-6
ExtraTreesGini_BAG_L1,0.013399503722084368,0.014393283134537216,0.015546278969339283,0.013399503722084368,cam-7
ExtraTreesGini_BAG_L1,0.015047021943573668,0.016702623703806804,0.01876759461995621,0.015047021943573668,cam-8
ExtraTreesGini_BAG_L1,1.0,0.9460426905303309,0.8976100663947775,1.0,noise
ExtraTreesGini_BAG_L1,0.12569370859468776,0.12031697521167148,0.11574120178271821,0.12569370859468776,all
ExtraTreesEntr_BAG_L1,0.027713059472716125,0.027428848837914924,0.02715040845747237,0.027713059472716125,cam-1
ExtraTreesEntr_BAG_L1,0.011233181088754474,0.011932078935291418,0.012723713646532438,0.011233181088754474,cam-2
ExtraTreesEntr_BAG_L1,0.016338655774229483,0.01763998396365094,0.01916654566574706,0.016338655774229483,cam-3
ExtraTreesEntr_BAG_L1,0.005566801619433198,0.006885758998435054,0.009023789991796555,0.005566801619433198,cam-4
ExtraTreesEntr_BAG_L1,0.01981782373215165,0.01962457337883959,0.019435055528730084,0.01981782373215165,cam-5
ExtraTreesEntr_BAG_L1,0.01718382989244653,0.017725070135169597,0.018301514154048716,0.01718382989244653,cam-6
ExtraTreesEntr_BAG_L1,0.01240694789081886,0.013331555792560993,0.014405070584845865,0.01240694789081886,cam-7
ExtraTreesEntr_BAG_L1,0.016802507836990596,0.018550564130961445,0.020704573547589616,0.016802507836990596,cam-8
ExtraTreesEntr_BAG_L1,1.0,0.9419041985262434,0.8901880124789486,1.0,noise
ExtraTreesEntr_BAG_L1,0.125229200811949,0.11944695918878526,0.11456652045063459,0.125229200811949,all
XGBoost_BAG_L1,0.13402820355610054,0.13184559710494573,0.12973293768545993,0.13402820355610054,cam-1
XGBoost_BAG_L1,0.09418590297494137,0.10191678354371202,0.11103026775320139,0.09418590297494137,cam-2
XGBoost_BAG_L1,0.08367372199529645,0.09736425176436699,0.11641122782848287,0.08367372199529645,cam-3
XGBoost_BAG_L1,0.0471912955465587,0.06582546545486631,0.10877806940799067,0.0471912955465587,cam-4
XGBoost_BAG_L1,0.18476120137863122,0.1460756167583086,0.12078538665808321,0.18476120137863122,cam-5
