Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.29944819129368483,0.17962486208164768,0.12828999211977934,0.29944819129368483,cam-1
LightGBMXT_BAG_L1,0.14751265275891864,0.1345114813147231,0.12361642701975795,0.14751265275891864,cam-2
LightGBMXT_BAG_L1,0.05409085282832034,0.07503434065934066,0.12244326141776408,0.05409085282832034,cam-3
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-4
LightGBMXT_BAG_L1,0.2866814377154111,0.1772113372645996,0.12824183690325422,0.2866814377154111,cam-5
LightGBMXT_BAG_L1,0.14649524044999382,0.1352971399212194,0.12568943572337718,0.14649524044999382,cam-6
LightGBMXT_BAG_L1,0.014516129032258065,0.02557097584963392,0.10724106324472961,0.014516129032258065,cam-7
LightGBMXT_BAG_L1,0.06282131661442006,0.0870471722700026,0.14168552036199095,0.06282131661442006,cam-8
all,0.12644572758662587,0.10178716367014587,0.10965094209883167,0.12644572758662587,all
LightGBM_BAG_L1,0.3325567136725935,0.18682832736290989,0.12990372179910906,0.3325567136725935,cam-1
LightGBM_BAG_L1,0.11146772003456364,0.11648606811145511,0.12197757665811157,0.11146772003456364,cam-2
LightGBM_BAG_L1,0.04567396955068696,0.06526930220217564,0.11431226765799256,0.04567396955068696,cam-3
LightGBM_BAG_L1,0.00037955465587044535,0.0007539582809751194,0.05555555555555555,0.00037955465587044535,cam-4
LightGBM_BAG_L1,0.2955440669620876,0.17544757033248085,0.12475319546918841,0.2955440669620876,cam-5
LightGBM_BAG_L1,0.13598714303374954,0.12871518839223028,0.12218149505720316,0.13598714303374954,cam-6
LightGBM_BAG_L1,0.020719602977667492,0.0341827857946986,0.09760374050263004,0.020719602977667492,cam-7
LightGBM_BAG_L1,0.05141065830721003,0.07495429616087751,0.13827993254637436,0.05141065830721003,cam-8
all,0.12421742864930366,0.09782968707972536,0.11307093565577059,0.12421742864930366,all
ExtraTreesGini_BAG_L1,0.035683629675045986,0.03381558305734705,0.03213339222614841,0.035683629675045986,cam-1
ExtraTreesGini_BAG_L1,0.020738180471546724,0.020586973837387414,0.020437956204379562,0.020738180471546724,cam-2
ExtraTreesGini_BAG_L1,0.025003094442381482,0.025062034739454096,0.025121253575425943,0.025003094442381482,cam-3
ExtraTreesGini_BAG_L1,0.009109311740890687,0.01041365345675441,0.012153950033760972,0.009109311740890687,cam-4
ExtraTreesGini_BAG_L1,0.021048744460856722,0.020571428571428574,0.020115280555228796,0.021048744460856722,cam-5
ExtraTreesGini_BAG_L1,0.024106811719619235,0.02263099866535136,0.021325459317585303,0.024106811719619235,cam-6
ExtraTreesGini_BAG_L1,0.019230769230769232,0.01939924906132666,0.019570707070707072,0.019230769230769232,cam-7
ExtraTreesGini_BAG_L1,0.02457680250783699,0.025038323965252938,0.025517510740788958,0.02457680250783699,cam-8
all,0.022437168031118386,0.02218978066928781,0.022046938715503128,0.022437168031118386,all
ExtraTreesEntr_BAG_L1,0.03470263641937461,0.032139004031571175,0.02992808798646362,0.03470263641937461,cam-1
ExtraTreesEntr_BAG_L1,0.02246636217750895,0.02200725513905683,0.021566536319469132,0.02246636217750895,cam-2
ExtraTreesEntr_BAG_L1,0.02463176135660354,0.024749704620359428,0.024868782804298925,0.02463176135660354,cam-3
ExtraTreesEntr_BAG_L1,0.01062753036437247,0.0123902942694889,0.014854111405835544,0.01062753036437247,cam-4
ExtraTreesEntr_BAG_L1,0.022156573116691284,0.021848637494689564,0.021549144020112536,0.022156573116691284,cam-5
ExtraTreesEntr_BAG_L1,0.026455680553838547,0.02535094473730972,0.024334773709347283,0.026455680553838547,cam-6
ExtraTreesEntr_BAG_L1,0.019602977667493797,0.019792058123512465,0.019984821654439665,0.019602977667493797,cam-7
ExtraTreesEntr_BAG_L1,0.02445141065830721,0.024594816169515036,0.024739913727480335,0.02445141065830721,cam-8
all,0.0231368665392738,0.022859089323187892,0.022728271453430877,0.0231368665392738,all
XGBoost_BAG_L1,0.11980380134886573,0.12424492910281681,0.12902799788695193,0.11980380134886573,cam-1
XGBoost_BAG_L1,0.12726823848907542,0.12343609697695301,0.1198279869827987,0.12726823848907542,cam-2
XGBoost_BAG_L1,0.08553038742418616,0.09653534506845486,0.11079044412377746,0.08553038742418616,cam-3
XGBoost_BAG_L1,0.024418016194331985,0.03793611793611794,0.08498458828709819,0.024418016194331985,cam-4
XGBoost_BAG_L1,0.16617429837518463,0.13428159347490926,0.11265960110156055,0.16617429837518463,cam-5
XGBoost_BAG_L1,0.16689331190505624,0.13819224076159278,0.11791422831688357,0.16689331190505624,cam-6
XGBoost_BAG_L1,0.1421836228287841,0.1306504018696916,0.12084783296425182,0.1421836228287841,cam-7
XGBoost_BAG_L1,0.11724137931034483,0.12581578416201306,0.13574332171893147,0.11724137931034483,cam-8
all,0.11868913198447864,0.11388656366906866,0.11647450017278171,0.11868913198447864,all
LightGBMLarge_BAG_L1,0.7872470876762723,0.2156460985522824,0.12493432191021075,0.7872470876762723,cam-1
LightGBMLarge_BAG_L1,0.014936427601530675,0.024729204986715714,0.07181008902077152,0.014936427601530675,cam-2
LightGBMLarge_BAG_L1,0.003960886248298057,0.0073251688222502,0.0486322188449848,0.003960886248298057,cam-3
LightGBMLarge_BAG_L1,0.00037955465587044535,0.0007523510971786833,0.04225352112676056,0.00037955465587044535,cam-4
LightGBMLarge_BAG_L1,0.1308468734613491,0.12336795682701794,0.11669777143484467,0.1308468734613491,cam-5
LightGBMLarge_BAG_L1,0.005068611694894301,0.009147701918786255,0.046857142857142854,0.005068611694894301,cam-6
