Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.8857142857142857,0.22200365754329887,0.12690631808278868,0.8857142857142857,cam-1
LightGBMXT_BAG_L1,0.005801752870016047,0.010875853291681128,0.08671586715867159,0.005801752870016047,cam-2
LightGBMXT_BAG_L1,0.003218220076742171,0.006191950464396284,0.08150470219435736,0.003218220076742171,cam-3
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-4
LightGBMXT_BAG_L1,0.09454634987073741,0.10480349344978167,0.11755701821521507,0.09454634987073741,cam-5
LightGBMXT_BAG_L1,0.0009889974038818149,0.0019474196689386566,0.06299212598425197,0.0009889974038818149,cam-6
LightGBMXT_BAG_L1,0.00024813895781637717,0.0004932790726353435,0.04081632653061224,0.00024813895781637717,cam-7
LightGBMXT_BAG_L1,0.0,0.0,0.0,0.0,cam-8
all,0.12381471811168494,0.04328945668634149,0.06456154477073711,0.12381471811168494,all
LightGBM_BAG_L1,0.7461679950950337,0.2157533639441913,0.12610876233109508,0.7461679950950337,cam-1
LightGBM_BAG_L1,0.023453894580915936,0.03775834658187599,0.09679062659195109,0.023453894580915936,cam-2
LightGBM_BAG_L1,0.010273548706523085,0.018296043205114076,0.08350100603621731,0.010273548706523085,cam-3
LightGBM_BAG_L1,0.0,0.0,0.0,0.0,cam-4
LightGBM_BAG_L1,0.17062661578234642,0.14021953563660275,0.11901081916537867,0.17062661578234642,cam-5
LightGBM_BAG_L1,0.009271850661392014,0.016722408026755856,0.0851305334846765,0.009271850661392014,cam-6
LightGBM_BAG_L1,0.003349875930521092,0.006325407051657491,0.05660377358490566,0.003349875930521092,cam-7
LightGBM_BAG_L1,0.004012539184952978,0.007761338830948338,0.11808118081180811,0.004012539184952978,cam-8
all,0.12089453999271065,0.05535455540964322,0.08565333775075404,0.12089453999271065,all
ExtraTreesGini_BAG_L1,0.03249540159411404,0.030304762993881868,0.028390829226483824,0.03249540159411404,cam-1
ExtraTreesGini_BAG_L1,0.021972595975805455,0.022041978824840564,0.022111801242236023,0.021972595975805455,cam-2
ExtraTreesGini_BAG_L1,0.024136650575566285,0.023777588099012318,0.023429052024510393,0.024136650575566285,cam-3
ExtraTreesGini_BAG_L1,0.010374493927125507,0.011857421733786422,0.013834992407626118,0.010374493927125507,cam-4
ExtraTreesGini_BAG_L1,0.021297550166194754,0.020338584528568068,0.01946225672179098,0.021297550166194754,cam-5
ExtraTreesGini_BAG_L1,0.020150822104091977,0.019773154606659793,0.01940938318647297,0.020150822104091977,cam-6
ExtraTreesGini_BAG_L1,0.017866004962779156,0.018005626758361988,0.018147448015122872,0.017866004962779156,cam-7
ExtraTreesGini_BAG_L1,0.02231974921630094,0.02281320089714835,0.023328964613368284,0.02231974921630094,cam-8
all,0.021326658565247264,0.02111403980528242,0.02101434092970143,0.021326658565247264,all
ExtraTreesEntr_BAG_L1,0.03543838136112814,0.0323175845680738,0.029701952723535457,0.03543838136112814,cam-1
ExtraTreesEntr_BAG_L1,0.02209603752623133,0.021793388932854447,0.021498919048762912,0.02209603752623133,cam-2
ExtraTreesEntr_BAG_L1,0.024384205966084913,0.02417771232204222,0.023974686625289034,0.024384205966084913,cam-3
