Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9976147392663267,0.996180854995688,0.9947510866890839,0.9976147392663267,iot_noise
LightGBMXT_BAG_L1,0.9201590700520037,0.9327131782945737,0.9456145866079849,0.9201590700520037,light-1
LightGBMXT_BAG_L1,0.9191333536771438,0.9264841587203938,0.933953488372093,0.9191333536771438,light-2
LightGBMXT_BAG_L1,0.9541008276899925,0.9410018552875695,0.9282576866764275,0.9541008276899925,light-3
LightGBMXT_BAG_L1,0.6610169491525424,0.78,0.9512195121951219,0.6610169491525424,light-4
LightGBMXT_BAG_L1,0.6896551724137931,0.7692307692307693,0.8695652173913043,0.6896551724137931,light-5
LightGBMXT_BAG_L1,0.04918032786885246,0.05263157894736842,0.05660377358490566,0.04918032786885246,light-6
LightGBMXT_BAG_L1,0.13114754098360656,0.12307692307692308,0.11594202898550725,0.13114754098360656,light-7
LightGBMXT_BAG_L1,0.7586206896551724,0.854368932038835,0.9777777777777777,0.7586206896551724,light-8
LightGBMXT_BAG_L1,0.6756254078621593,0.7084098056213466,0.7526316842533562,0.6756254078621593,all
LightGBM_BAG_L1,0.9978614903767067,0.9964272514475792,0.9949971295005331,0.9978614903767067,iot_noise
LightGBM_BAG_L1,0.9192413582135209,0.93497199751089,0.9512503956948402,0.9192413582135209,light-1
LightGBM_BAG_L1,0.9197436679890143,0.9266717909300537,0.9337050805452293,0.9197436679890143,light-2
LightGBM_BAG_L1,0.9586155003762227,0.9435289761155342,0.9289099526066351,0.9586155003762227,light-3
LightGBM_BAG_L1,0.6440677966101694,0.76,0.926829268292683,0.6440677966101694,light-4
LightGBM_BAG_L1,0.603448275862069,0.7142857142857142,0.875,0.603448275862069,light-5
LightGBM_BAG_L1,0.06557377049180328,0.06896551724137932,0.07272727272727272,0.06557377049180328,light-6
LightGBM_BAG_L1,0.11475409836065574,0.109375,0.1044776119402985,0.11475409836065574,light-7
LightGBM_BAG_L1,0.7931034482758621,0.8679245283018867,0.9583333333333334,0.7931034482758621,light-8
LightGBM_BAG_L1,0.6684899340617805,0.702461197314782,0.7495811160712027,0.6684899340617805,all
ExtraTreesGini_BAG_L1,0.9969567363053133,0.9853269926431737,0.9739654479710728,0.9969567363053133,iot_noise
