Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9192413582135209,0.9332298136645962,0.9476505834121728,0.9192413582135209,light-1
LightGBMXT_BAG_L1,0.8992981385413488,0.9192139737991265,0.9400318979266348,0.8992981385413488,light-2
LightGBMXT_BAG_L1,0.9525959367945824,0.9326825674555669,0.913584701425221,0.9525959367945824,light-3
LightGBMXT_BAG_L1,0.6440677966101694,0.7524752475247525,0.9047619047619048,0.6440677966101694,light-4
LightGBMXT_BAG_L1,0.7586206896551724,0.8073394495412843,0.8627450980392157,0.7586206896551724,light-5
LightGBMXT_BAG_L1,0.04918032786885246,0.05,0.05084745762711865,0.04918032786885246,light-6
LightGBMXT_BAG_L1,0.08196721311475409,0.08,0.078125,0.08196721311475409,light-7
LightGBMXT_BAG_L1,0.6379310344827587,0.7628865979381444,0.9487179487179487,0.6379310344827587,light-8
LightGBMXT_BAG_L1,0.9990952459286067,0.9968405071601493,0.9945959223777942,0.9990952459286067,network_noise
LightGBMXT_BAG_L1,0.6602219712455296,0.6927409063426243,0.7378956126986678,0.6602219712455296,all
LightGBM_BAG_L1,0.9226063016212909,0.936064556176288,0.9499212598425197,0.9226063016212909,light-1
LightGBM_BAG_L1,0.9136405248703082,0.9257884972170687,0.9382638671262927,0.9136405248703082,light-2
LightGBM_BAG_L1,0.9542889390519187,0.9391835601221882,0.9245489338436303,0.9542889390519187,light-3
LightGBM_BAG_L1,0.6271186440677966,0.7474747474747475,0.925,0.6271186440677966,light-4
LightGBM_BAG_L1,0.7413793103448276,0.7747747747747747,0.8113207547169812,0.7413793103448276,light-5
LightGBM_BAG_L1,0.03278688524590164,0.03333333333333334,0.03389830508474576,0.03278688524590164,light-6
LightGBM_BAG_L1,0.09836065573770492,0.09302325581395347,0.08823529411764706,0.09836065573770492,light-7
LightGBM_BAG_L1,0.7068965517241379,0.8118811881188119,0.9534883720930233,0.7068965517241379,light-8
LightGBM_BAG_L1,0.9991774962987333,0.9974136869329611,0.9956560937628063,0.9991774962987333,network_noise
LightGBM_BAG_L1,0.6662505898847354,0.6954375111071252,0.7355925422875161,0.6662505898847354,all
ExtraTreesGini_BAG_L1,0.912511471397981,0.9272614236866645,0.9424960505529226,0.912511471397981,light-1
ExtraTreesGini_BAG_L1,0.8764113518462008,0.8990452339959305,0.922879177377892,0.8764113518462008,light-2
ExtraTreesGini_BAG_L1,0.9223100075244545,0.9138011368931134,0.9054478301015697,0.9223100075244545,light-3
ExtraTreesGini_BAG_L1,0.3050847457627119,0.4337349397590361,0.75,0.3050847457627119,light-4
ExtraTreesGini_BAG_L1,0.3620689655172414,0.5060240963855421,0.84,0.3620689655172414,light-5
ExtraTreesGini_BAG_L1,0.0,0.0,0.0,0.0,light-6
ExtraTreesGini_BAG_L1,0.03278688524590164,0.03418803418803419,0.03571428571428571,0.03278688524590164,light-7
ExtraTreesGini_BAG_L1,0.3103448275862069,0.4675324675324675,0.9473684210526315,0.3103448275862069,light-8
ExtraTreesGini_BAG_L1,0.99925974666886,0.9874024707412223,0.9758232931726908,0.99925974666886,network_noise
ExtraTreesGini_BAG_L1,0.524530889061062,0.5743322003535567,0.7021921175524436,0.524530889061062,all
ExtraTreesEntr_BAG_L1,0.9106760477210156,0.9246777449914583,0.9391167192429022,0.9106760477210156,light-1
ExtraTreesEntr_BAG_L1,0.8797680805614891,0.8992514036182159,0.9196172248803828,0.8797680805614891,light-2
ExtraTreesEntr_BAG_L1,0.9177953348382242,0.9114515225107416,0.9051948051948052,0.9177953348382242,light-3
ExtraTreesEntr_BAG_L1,0.3050847457627119,0.4390243902439025,0.782608695652174,0.3050847457627119,light-4
ExtraTreesEntr_BAG_L1,0.3793103448275862,0.5116279069767441,0.7857142857142857,0.3793103448275862,light-5
ExtraTreesEntr_BAG_L1,0.0,0.0,0.0,0.0,light-6
ExtraTreesEntr_BAG_L1,0.04918032786885246,0.05,0.05084745762711865,0.04918032786885246,light-7
ExtraTreesEntr_BAG_L1,0.3448275862068966,0.5063291139240507,0.9523809523809523,0.3448275862068966,light-8
ExtraTreesEntr_BAG_L1,0.99925974666886,0.9878440460218725,0.976686228796527,0.99925974666886,network_noise
ExtraTreesEntr_BAG_L1,0.5317669127172928,0.5811340142541094,0.7013518188321276,0.5317669127172928,all
XGBoost_BAG_L1,0.9213826858366473,0.9316424373646768,0.9421332499218017,0.9213826858366473,light-1
XGBoost_BAG_L1,0.9090631675312786,0.9222910216718266,0.9359095193213949,0.9090631675312786,light-2
XGBoost_BAG_L1,0.9507148231753197,0.937836333271479,0.925302087147565,0.9507148231753197,light-3
XGBoost_BAG_L1,0.6949152542372882,0.796116504854369,0.9318181818181818,0.6949152542372882,light-4
XGBoost_BAG_L1,0.7931034482758621,0.8214285714285715,0.8518518518518519,0.7931034482758621,light-5
XGBoost_BAG_L1,0.06557377049180328,0.06504065040650406,0.06451612903225806,0.06557377049180328,light-6
XGBoost_BAG_L1,0.06557377049180328,0.06451612903225806,0.06349206349206349,0.06557377049180328,light-7
XGBoost_BAG_L1,0.6896551724137931,0.7920792079207921,0.9302325581395349,0.6896551724137931,light-8
XGBoost_BAG_L1,0.9991774962987333,0.9970862231706817,0.9950036858055533,0.9991774962987333,network_noise
XGBoost_BAG_L1,0.6765732876391698,0.7031152310134621,0.7378065918366894,0.6765732876391698,all
LightGBMLarge_BAG_L1,0.9210767818904864,0.9368388301182328,0.9531497309275087,0.9210767818904864,light-1
LightGBMLarge_BAG_L1,0.9169972535855966,0.9251847290640395,0.933519726623175,0.9169972535855966,light-2
LightGBMLarge_BAG_L1,0.9509029345372461,0.9363712142261739,0.9222769567597153,0.9509029345372461,light-3
LightGBMLarge_BAG_L1,0.5084745762711864,0.6521739130434782,0.9090909090909091,0.5084745762711864,light-4
LightGBMLarge_BAG_L1,0.6896551724137931,0.7920792079207921,0.9302325581395349,0.6896551724137931,light-5
