Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9397927290672808,0.9451567540739515,0.9505823627287854,0.9397927290672808,iot_noise
LightGBMXT_BAG_L1,0.9259712450290609,0.93368291178285,0.9415241057542768,0.9259712450290609,light-1
LightGBMXT_BAG_L1,0.9142508391821789,0.9284164859002169,0.9430280138495436,0.9142508391821789,light-2
LightGBMXT_BAG_L1,0.9582392776523702,0.9435954431786607,0.9293924466338259,0.9582392776523702,light-3
LightGBMXT_BAG_L1,0.6271186440677966,0.7628865979381443,0.9736842105263158,0.6271186440677966,light-4
LightGBMXT_BAG_L1,0.6206896551724138,0.7346938775510204,0.9,0.6206896551724138,light-5
LightGBMXT_BAG_L1,0.03278688524590164,0.03333333333333334,0.03389830508474576,0.03278688524590164,light-6
LightGBMXT_BAG_L1,0.01639344262295082,0.016949152542372878,0.017543859649122806,0.01639344262295082,light-7
LightGBMXT_BAG_L1,0.603448275862069,0.7368421052631577,0.9459459459459459,0.603448275862069,light-8
LightGBMXT_BAG_L1,0.9588748149366673,0.9491939423546654,0.9397065935837497,0.9588748149366673,network_noise
all,0.8246957261048362,0.8730938254897966,0.9469132304695389,0.8246957261048362,all
LightGBM_BAG_L1,0.9749958874814937,0.9664900122299226,0.9581312641448432,0.9749958874814937,iot_noise
LightGBM_BAG_L1,0.9253594371367391,0.9371127633209417,0.9491684970191403,0.9253594371367391,light-1
LightGBM_BAG_L1,0.9160817821177907,0.933457711442786,0.9515055467511886,0.9160817821177907,light-2
LightGBM_BAG_L1,0.9648231753197893,0.9456992716880244,0.9273187488700054,0.9648231753197893,light-3
LightGBM_BAG_L1,0.6440677966101694,0.7755102040816326,0.9743589743589743,0.6440677966101694,light-4
LightGBM_BAG_L1,0.5862068965517241,0.7234042553191489,0.9444444444444444,0.5862068965517241,light-5
LightGBM_BAG_L1,0.01639344262295082,0.017094017094017096,0.017857142857142856,0.01639344262295082,light-6
LightGBM_BAG_L1,0.04918032786885246,0.048,0.046875,0.04918032786885246,light-7
LightGBM_BAG_L1,0.603448275862069,0.7142857142857142,0.875,0.603448275862069,light-8
LightGBM_BAG_L1,0.9662773482480671,0.9707486365889935,0.9752614975925619,0.9662773482480671,network_noise
all,0.8308542962274557,0.8789753232563976,0.9524901395047877,0.8308542962274557,all
ExtraTreesGini_BAG_L1,0.8266162197729889,0.8700545407324041,0.9183114035087719,0.8266162197729889,iot_noise
ExtraTreesGini_BAG_L1,0.9103701437748547,0.9229337881842146,0.9358490566037736,0.9103701437748547,light-1
ExtraTreesGini_BAG_L1,0.8776319804699421,0.8983289083242231,0.9200255918106206,0.8776319804699421,light-2
ExtraTreesGini_BAG_L1,0.9317155756207675,0.914596990120949,0.8980961015412511,0.9317155756207675,light-3
ExtraTreesGini_BAG_L1,0.3389830508474576,0.4938271604938271,0.9090909090909091,0.3389830508474576,light-4
ExtraTreesGini_BAG_L1,0.3103448275862069,0.4390243902439025,0.75,0.3103448275862069,light-5
ExtraTreesGini_BAG_L1,0.0,0.0,0.0,0.0,light-6
ExtraTreesGini_BAG_L1,0.01639344262295082,0.01724137931034483,0.01818181818181818,0.01639344262295082,light-7
ExtraTreesGini_BAG_L1,0.1896551724137931,0.3188405797101449,1.0,0.1896551724137931,light-8
ExtraTreesGini_BAG_L1,0.9544332949498273,0.8969622014377368,0.8460192475940508,0.9544332949498273,network_noise
all,0.6695179635073486,0.7214762423197184,0.8994467660413995,0.6695179635073486,all
ExtraTreesEntr_BAG_L1,0.8205296923836157,0.8695197420029634,0.9247311827956989,0.8205296923836157,iot_noise
ExtraTreesEntr_BAG_L1,0.9094524319363719,0.9222894369474174,0.9354940213971051,0.9094524319363719,light-1
ExtraTreesEntr_BAG_L1,0.8758010375343301,0.8987004853608892,0.9228295819935691,0.8758010375343301,light-2
ExtraTreesEntr_BAG_L1,0.9330323551542513,0.9150447375703349,0.897737556561086,0.9330323551542513,light-3
ExtraTreesEntr_BAG_L1,0.3728813559322034,0.5301204819277109,0.9166666666666666,0.3728813559322034,light-4
ExtraTreesEntr_BAG_L1,0.3448275862068966,0.48192771084337355,0.8,0.3448275862068966,light-5
ExtraTreesEntr_BAG_L1,0.0,0.0,0.0,0.0,light-6
ExtraTreesEntr_BAG_L1,0.01639344262295082,0.017094017094017096,0.017857142857142856,0.01639344262295082,light-7
ExtraTreesEntr_BAG_L1,0.22413793103448276,0.3611111111111111,0.9285714285714286,0.22413793103448276,light-8
ExtraTreesEntr_BAG_L1,0.9590393156769206,0.8958893584325778,0.8405420991926182,0.9590393156769206,network_noise
all,0.6820118935602529,0.7364621351612994,0.8980537100044146,0.6820118935602529,all
XGBoost_BAG_L1,0.9710478697154137,0.9642273766742894,0.9575020275750202,0.9710478697154137,iot_noise
XGBoost_BAG_L1,0.9265830529213827,0.9376257545271629,0.9489348370927319,0.9265830529213827,light-1
XGBoost_BAG_L1,0.911504424778761,0.9283605283605284,0.9458518049398353,0.911504424778761,light-2
XGBoost_BAG_L1,0.9621896162528216,0.9446855665343061,0.927807001632505,0.9621896162528216,light-3
XGBoost_BAG_L1,0.6271186440677966,0.7474747474747475,0.925,0.6271186440677966,light-4
XGBoost_BAG_L1,0.6551724137931034,0.7450980392156864,0.8636363636363636,0.6551724137931034,light-5
XGBoost_BAG_L1,0.04918032786885246,0.049586776859504134,0.05,0.04918032786885246,light-6
XGBoost_BAG_L1,0.01639344262295082,0.01652892561983471,0.016666666666666666,0.01639344262295082,light-7
XGBoost_BAG_L1,0.6206896551724138,0.7272727272727273,0.8780487804878049,0.6206896551724138,light-8
XGBoost_BAG_L1,0.9649613423260405,0.9677472572795512,0.9705493050959629,0.9649613423260405,network_noise
all,0.838105098689942,0.8785759624772924,0.9354995983908612,0.838105098689942,all
LightGBMLarge_BAG_L1,0.9738443822997204,0.9666095191444201,0.9594813614262561,0.9738443822997204,iot_noise
LightGBMLarge_BAG_L1,0.9262771489752217,0.9377516258903684,0.9495139542176231,0.9262771489752217,light-1
LightGBMLarge_BAG_L1,0.919438510833079,0.9338292267162559,0.9486775818639799,0.919438510833079,light-2
LightGBMLarge_BAG_L1,0.9655756207674944,0.9477474150664698,0.9305656272661349,0.9655756207674944,light-3
LightGBMLarge_BAG_L1,0.5084745762711864,0.6666666666666666,0.967741935483871,0.5084745762711864,light-4
LightGBMLarge_BAG_L1,0.5344827586206896,0.6595744680851064,0.8611111111111112,0.5344827586206896,light-5
LightGBMLarge_BAG_L1,0.03278688524590164,0.033613445378151266,0.034482758620689655,0.03278688524590164,light-6
LightGBMLarge_BAG_L1,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,light-7
LightGBMLarge_BAG_L1,0.5862068965517241,0.7234042553191489,0.9444444444444444,0.5862068965517241,light-8
LightGBMLarge_BAG_L1,0.9680868563908538,0.970881794935247,0.9736929185969556,0.9680868563908538,network_noise
all,0.8059950651502215,0.8591081628059669,0.9503123222846208,0.8059950651502215,all
WeightedEnsemble_L2,0.9748313867412404,0.966878773046174,0.95905486324648,0.9748313867412404,iot_noise
WeightedEnsemble_L2,0.9259712450290609,0.9391870927707106,0.9527856468366384,0.9259712450290609,light-1
WeightedEnsemble_L2,0.91547146780592,0.9344338888023672,0.9541984732824428,0.91547146780592,light-2
WeightedEnsemble_L2,0.9676448457486833,0.9468936953520478,0.9270138763741215,0.9676448457486833,light-3
WeightedEnsemble_L2,0.6271186440677966,0.7551020408163266,0.9487179487179487,0.6271186440677966,light-4
WeightedEnsemble_L2,0.5862068965517241,0.7234042553191489,0.9444444444444444,0.5862068965517241,light-5
WeightedEnsemble_L2,0.03278688524590164,0.033613445378151266,0.034482758620689655,0.03278688524590164,light-6
WeightedEnsemble_L2,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.03278688524590164,light-7
WeightedEnsemble_L2,0.603448275862069,0.7291666666666666,0.9210526315789473,0.603448275862069,light-8
WeightedEnsemble_L2,0.9675933541700937,0.9710276516714816,0.9744864148442677,0.9675933541700937,network_noise
all,0.8292324858085488,0.8790617993836221,0.9561279928989852,0.8292324858085488,all
LightGBMXT_BAG_L2,0.9764763941437736,0.9674054758800522,0.9585015339899887,0.9764763941437736,iot_noise
LightGBMXT_BAG_L2,0.9308657081676354,0.9378948990599475,0.9450310559006211,0.9308657081676354,light-1
LightGBMXT_BAG_L2,0.9072322245956668,0.9343180389692017,0.9630709426627794,0.9072322245956668,light-2
LightGBMXT_BAG_L2,0.9693378480060195,0.9462859241575613,0.924304932735426,0.9693378480060195,light-3
LightGBMXT_BAG_L2,0.559322033898305,0.6804123711340205,0.868421052631579,0.559322033898305,light-4
LightGBMXT_BAG_L2,0.5344827586206896,0.6262626262626262,0.7560975609756098,0.5344827586206896,light-5
LightGBMXT_BAG_L2,0.5245901639344263,0.5663716814159292,0.6153846153846154,0.5245901639344263,light-6
LightGBMXT_BAG_L2,0.5737704918032787,0.5785123966942148,0.5833333333333334,0.5737704918032787,light-7
LightGBMXT_BAG_L2,0.5862068965517241,0.7234042553191489,0.9444444444444444,0.5862068965517241,light-8
LightGBMXT_BAG_L2,0.9657838460273072,0.9708946585083512,0.9760598503740648,0.9657838460273072,network_noise
all,0.9410085457186033,0.9914702909251318,1.0668311653040576,0.9410085457186033,all
LightGBM_BAG_L2,0.9766408948840269,0.9683575273201761,0.9602134885977681,0.9766408948840269,iot_noise
LightGBM_BAG_L2,0.932089323952279,0.9375384615384615,0.9430516867842773,0.932089323952279,light-1
LightGBM_BAG_L2,0.9096734818431492,0.9365378573672637,0.9650372288766591,0.9096734818431492,light-2
LightGBM_BAG_L2,0.9657637321294206,0.9472324723247232,0.9293989862418537,0.9657637321294206,light-3
LightGBM_BAG_L2,0.6610169491525424,0.6842105263157895,0.7090909090909091,0.6610169491525424,light-4
LightGBM_BAG_L2,0.6724137931034483,0.6964285714285714,0.7222222222222222,0.6724137931034483,light-5
LightGBM_BAG_L2,0.9016393442622951,0.9401709401709402,0.9821428571428571,0.9016393442622951,light-6
LightGBM_BAG_L2,0.9180327868852459,0.9032258064516128,0.8888888888888888,0.9180327868852459,light-7
LightGBM_BAG_L2,0.6551724137931034,0.7378640776699029,0.8444444444444444,0.6551724137931034,light-8
LightGBM_BAG_L2,0.9669353512090805,0.9718915343915344,0.976898786770816,0.9669353512090805,network_noise
all,1.069922258901824,1.0904322218723719,1.115173687382587,1.069922258901824,all
ExtraTreesGini_BAG_L2,0.9756538904425069,0.9667481662591687,0.9580035535454692,0.9756538904425069,iot_noise
ExtraTreesGini_BAG_L2,0.9293361884368309,0.9380886212752818,0.9470074812967582,0.9293361884368309,light-1
ExtraTreesGini_BAG_L2,0.9057064388159902,0.9373124901310596,0.9712041884816754,0.9057064388159902,light-2
ExtraTreesGini_BAG_L2,0.9702784048156509,0.9456412136767807,0.9222242088324691,0.9702784048156509,light-3
ExtraTreesGini_BAG_L2,0.6949152542372882,0.803921568627451,0.9534883720930233,0.6949152542372882,light-4
ExtraTreesGini_BAG_L2,0.6896551724137931,0.761904761904762,0.851063829787234,0.6896551724137931,light-5
ExtraTreesGini_BAG_L2,0.9508196721311475,0.943089430894309,0.9354838709677419,0.9508196721311475,light-6
ExtraTreesGini_BAG_L2,0.8852459016393442,0.9391304347826086,1.0,0.8852459016393442,light-7
ExtraTreesGini_BAG_L2,0.6206896551724138,0.7422680412371133,0.9230769230769231,0.6206896551724138,light-8
ExtraTreesGini_BAG_L2,0.9666063497285737,0.9709989258861439,0.9754316069057105,0.9666063497285737,network_noise
all,1.0736133659791924,1.1186379568343348,1.1796230043733755,1.0736133659791924,all
ExtraTreesEntr_BAG_L2,0.9766408948840269,0.9671743911379002,0.957889641819942,0.9766408948840269,iot_noise
ExtraTreesEntr_BAG_L2,0.9311716121137963,0.9387818041634541,0.9465174129353234,0.9311716121137963,light-1
