Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9476904252064852,0.9448002439768222,0.9419276375798115,0.9476904252064852,light-1
LightGBMXT_BAG_L1,0.9426304546841623,0.9456604928822899,0.9487100737100738,0.9426304546841623,light-2
LightGBMXT_BAG_L1,0.9685854025583145,0.9606343283582089,0.9528127313101407,0.9685854025583145,light-3
LightGBMXT_BAG_L1,0.3559322033898305,0.4883720930232558,0.7777777777777778,0.3559322033898305,light-4
LightGBMXT_BAG_L1,0.4482758620689655,0.5842696629213483,0.8387096774193549,0.4482758620689655,light-5
LightGBMXT_BAG_L1,0.08333333333333333,0.08264462809917354,0.08196721311475409,0.08333333333333333,light-6
LightGBMXT_BAG_L1,0.08333333333333333,0.08547008547008547,0.08771929824561403,0.08333333333333333,light-7
LightGBMXT_BAG_L1,0.4482758620689655,0.5777777777777777,0.8125,0.4482758620689655,light-8
LightGBM_BAG_L1,0.9495258488834506,0.9518552591229684,0.9541961266523209,0.9495258488834506,light-1
LightGBM_BAG_L1,0.9569728410131217,0.9540614542135686,0.9511677282377919,0.9569728410131217,light-2
LightGBM_BAG_L1,0.9738525206922498,0.9663991039761061,0.9590589107076695,0.9738525206922498,light-3
LightGBM_BAG_L1,0.3728813559322034,0.4731182795698925,0.6470588235294118,0.3728813559322034,light-4
LightGBM_BAG_L1,0.4827586206896552,0.6153846153846154,0.8484848484848485,0.4827586206896552,light-5
LightGBM_BAG_L1,0.03333333333333333,0.03508771929824562,0.037037037037037035,0.03333333333333333,light-6
LightGBM_BAG_L1,0.11666666666666667,0.11864406779661019,0.1206896551724138,0.11666666666666667,light-7
LightGBM_BAG_L1,0.4482758620689655,0.5909090909090909,0.8666666666666667,0.4482758620689655,light-8
ExtraTreesGini_BAG_L1,0.8629550321199143,0.8837719298245614,0.9056179775280899,0.8629550321199143,light-1
ExtraTreesGini_BAG_L1,0.8407079646017699,0.8758543951676998,0.9140676841406769,0.8407079646017699,light-2
ExtraTreesGini_BAG_L1,0.9644469525959368,0.9141481679593475,0.8688357905439756,0.9644469525959368,light-3
ExtraTreesGini_BAG_L1,0.0847457627118644,0.15151515151515152,0.7142857142857143,0.0847457627118644,light-4
ExtraTreesGini_BAG_L1,0.08620689655172414,0.15625000000000003,0.8333333333333334,0.08620689655172414,light-5
ExtraTreesGini_BAG_L1,0.016666666666666666,0.01818181818181818,0.02,0.016666666666666666,light-6
ExtraTreesGini_BAG_L1,0.016666666666666666,0.01886792452830189,0.021739130434782608,0.016666666666666666,light-7
ExtraTreesGini_BAG_L1,0.22413793103448276,0.34210526315789475,0.7222222222222222,0.22413793103448276,light-8
ExtraTreesEntr_BAG_L1,0.8595900887121444,0.8842039018250473,0.9102688694525429,0.8595900887121444,light-1
ExtraTreesEntr_BAG_L1,0.8419285932255112,0.8737925574030088,0.9081632653061225,0.8419285932255112,light-2
ExtraTreesEntr_BAG_L1,0.963882618510158,0.9132875857766688,0.8677392040643522,0.963882618510158,light-3
ExtraTreesEntr_BAG_L1,0.06779661016949153,0.12307692307692307,0.6666666666666666,0.06779661016949153,light-4
ExtraTreesEntr_BAG_L1,0.08620689655172414,0.15625000000000003,0.8333333333333334,0.08620689655172414,light-5
ExtraTreesEntr_BAG_L1,0.016666666666666666,0.01818181818181818,0.02,0.016666666666666666,light-6
ExtraTreesEntr_BAG_L1,0.03333333333333333,0.037037037037037035,0.041666666666666664,0.03333333333333333,light-7
ExtraTreesEntr_BAG_L1,0.20689655172413793,0.32,0.7058823529411765,0.20689655172413793,light-8
XGBoost_BAG_L1,0.9492199449372897,0.9495104039167687,0.9498010407101316,0.9492199449372897,light-1
XGBoost_BAG_L1,0.9536161122978334,0.952018278750952,0.9504257907542579,0.9536161122978334,light-2
XGBoost_BAG_L1,0.9715951843491347,0.9654205607476636,0.9593239227340268,0.9715951843491347,light-3
XGBoost_BAG_L1,0.3898305084745763,0.5287356321839081,0.8214285714285714,0.3898305084745763,light-4
XGBoost_BAG_L1,0.5172413793103449,0.6451612903225806,0.8571428571428571,0.5172413793103449,light-5
XGBoost_BAG_L1,0.05,0.05128205128205128,0.05263157894736842,0.05,light-6
XGBoost_BAG_L1,0.13333333333333333,0.13008130081300814,0.12698412698412698,0.13333333333333333,light-7
XGBoost_BAG_L1,0.5,0.6236559139784946,0.8285714285714286,0.5,light-8
LightGBMLarge_BAG_L1,0.9470786173141633,0.9492564770810977,0.9514443761524278,0.9470786173141633,light-1
LightGBMLarge_BAG_L1,0.9487335978028685,0.9482995272228153,0.9478658536585366,0.9487335978028685,light-2
LightGBMLarge_BAG_L1,0.9740406320541761,0.9638868205510053,0.9539425202652911,0.9740406320541761,light-3
LightGBMLarge_BAG_L1,0.3050847457627119,0.40909090909090917,0.6206896551724138,0.3050847457627119,light-4
LightGBMLarge_BAG_L1,0.43103448275862066,0.5882352941176471,0.9259259259259259,0.43103448275862066,light-5
LightGBMLarge_BAG_L1,0.03333333333333333,0.03571428571428572,0.038461538461538464,0.03333333333333333,light-6
LightGBMLarge_BAG_L1,0.11666666666666667,0.11570247933884299,0.11475409836065574,0.11666666666666667,light-7
LightGBMLarge_BAG_L1,0.3620689655172414,0.5,0.8076923076923077,0.3620689655172414,light-8
WeightedEnsemble_L2,0.9495258488834506,0.9518552591229684,0.9541961266523209,0.9495258488834506,light-1
WeightedEnsemble_L2,0.9569728410131217,0.9540614542135686,0.9511677282377919,0.9569728410131217,light-2
WeightedEnsemble_L2,0.9738525206922498,0.9663991039761061,0.9590589107076695,0.9738525206922498,light-3
WeightedEnsemble_L2,0.3728813559322034,0.4731182795698925,0.6470588235294118,0.3728813559322034,light-4
WeightedEnsemble_L2,0.4827586206896552,0.6153846153846154,0.8484848484848485,0.4827586206896552,light-5
WeightedEnsemble_L2,0.03333333333333333,0.03508771929824562,0.037037037037037035,0.03333333333333333,light-6
WeightedEnsemble_L2,0.11666666666666667,0.11864406779661019,0.1206896551724138,0.11666666666666667,light-7
WeightedEnsemble_L2,0.4482758620689655,0.5909090909090909,0.8666666666666667,0.4482758620689655,light-8
LightGBMXT_BAG_L2,0.954420312022025,0.9531082938750571,0.9517998779743746,0.954420312022025,light-1
LightGBMXT_BAG_L2,0.9560573695453158,0.954310082241852,0.9525691699604744,0.9560573695453158,light-2
LightGBMXT_BAG_L2,0.9729119638826185,0.9691745526093881,0.9654657457532201,0.9729119638826185,light-3
LightGBMXT_BAG_L2,0.5932203389830508,0.6086956521739131,0.625,0.5932203389830508,light-4
LightGBMXT_BAG_L2,0.41379310344827586,0.5393258426966293,0.7741935483870968,0.41379310344827586,light-5
LightGBMXT_BAG_L2,0.7833333333333333,0.8468468468468469,0.9215686274509803,0.7833333333333333,light-6
LightGBMXT_BAG_L2,0.8166666666666667,0.8596491228070176,0.9074074074074074,0.8166666666666667,light-7
LightGBMXT_BAG_L2,0.5,0.5858585858585859,0.7073170731707317,0.5,light-8
LightGBM_BAG_L2,0.9522789843988988,0.9518422259593333,0.9514058679706602,0.9522789843988988,light-1
LightGBM_BAG_L2,0.9560573695453158,0.9550373418686176,0.9540194884287454,0.9560573695453158,light-2
LightGBM_BAG_L2,0.9715951843491347,0.9689522558859394,0.9663236669784846,0.9715951843491347,light-3
LightGBM_BAG_L2,0.5932203389830508,0.5982905982905983,0.603448275862069,0.5932203389830508,light-4
LightGBM_BAG_L2,0.5,0.6041666666666667,0.7631578947368421,0.5,light-5
LightGBM_BAG_L2,0.8,0.8571428571428571,0.9230769230769231,0.8,light-6
LightGBM_BAG_L2,0.8,0.8347826086956521,0.8727272727272727,0.8,light-7
LightGBM_BAG_L2,0.6551724137931034,0.6846846846846846,0.7169811320754716,0.6551724137931034,light-8
ExtraTreesGini_BAG_L2,0.9507494646680942,0.9519142419601838,0.953081876724931,0.9507494646680942,light-1
ExtraTreesGini_BAG_L2,0.9545315837656393,0.9511935532917744,0.9478787878787879,0.9545315837656393,light-2
ExtraTreesGini_BAG_L2,0.9723476297968398,0.9678869019754704,0.9634669151910531,0.9723476297968398,light-3
ExtraTreesGini_BAG_L2,0.559322033898305,0.6226415094339622,0.7021276595744681,0.559322033898305,light-4
ExtraTreesGini_BAG_L2,0.5172413793103449,0.631578947368421,0.8108108108108109,0.5172413793103449,light-5
ExtraTreesGini_BAG_L2,0.7833333333333333,0.8245614035087719,0.8703703703703703,0.7833333333333333,light-6
ExtraTreesGini_BAG_L2,0.8166666666666667,0.8521739130434782,0.8909090909090909,0.8166666666666667,light-7
ExtraTreesGini_BAG_L2,0.5517241379310345,0.6666666666666666,0.8421052631578947,0.5517241379310345,light-8
ExtraTreesEntr_BAG_L2,0.951667176506577,0.9525413349663197,0.9534171008274593,0.951667176506577,light-1
ExtraTreesEntr_BAG_L2,0.9569728410131217,0.9537712895377128,0.9505910882085481,0.9569728410131217,light-2
ExtraTreesEntr_BAG_L2,0.9719714070729872,0.9674218311177681,0.9629146477823332,0.9719714070729872,light-3
