Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9995395039800014,0.9973415602743771,0.9951532617238669,0.9995395039800014,noise
LightGBMXT_BAG_L1,0.5223880597014925,0.5891446238406046,0.6754627806222923,0.5223880597014925,plug-1
LightGBMXT_BAG_L1,0.5329163923633969,0.6033165641885596,0.695148132245599,0.5329163923633969,plug-2
LightGBMXT_BAG_L1,0.5715889949466592,0.6094895973656638,0.6527733247835845,0.5715889949466592,plug-3
LightGBMXT_BAG_L1,0.6469652193680382,0.6037976026307416,0.566030230708035,0.6469652193680382,plug-4
LightGBMXT_BAG_L1,0.6393688955672426,0.6169647172547125,0.5960775157599814,0.6393688955672426,plug-5
LightGBMXT_BAG_L1,0.5226657645466847,0.593545908567038,0.6866666666666666,0.5226657645466847,plug-6
LightGBMXT_BAG_L1,0.801030585106383,0.6585582507687052,0.5591135862629075,0.801030585106383,plug-7
LightGBMXT_BAG_L1,0.4928684627575277,0.5917047184170471,0.7401237505949548,0.4928684627575277,plug-8
LightGBMXT_BAG_L1,0.6365924309263806,0.6515403937008277,0.6851721388186542,0.6365924309263806,all
LightGBM_BAG_L1,0.999309255970002,0.997013651877133,0.9947285704930915,0.999309255970002,noise
LightGBM_BAG_L1,0.5354858361254949,0.6007175807278319,0.6840466926070039,0.5354858361254949,plug-1
LightGBM_BAG_L1,0.5269914417379855,0.616718027734977,0.7432683379758589,0.5269914417379855,plug-2
LightGBM_BAG_L1,0.5802919708029197,0.6130802313510307,0.6497956617415906,0.5802919708029197,plug-3
LightGBM_BAG_L1,0.6606046828824733,0.6160695357218572,0.5771598808341609,0.6606046828824733,plug-4
LightGBM_BAG_L1,0.6418732782369146,0.6112568566658716,0.5834281811973594,0.6418732782369146,plug-5
LightGBM_BAG_L1,0.527063599458728,0.6016605522301604,0.7008547008547008,0.527063599458728,plug-6
LightGBM_BAG_L1,0.8013630319148937,0.6561861984483464,0.5555427517861259,0.8013630319148937,plug-7
LightGBM_BAG_L1,0.5014263074484945,0.6104572641327416,0.7800788954635108,0.5014263074484945,plug-8
LightGBM_BAG_L1,0.6416010449531008,0.658128877654439,0.696544852550378,0.6416010449531008,all
ExtraTreesGini_BAG_L1,0.9999671074271429,0.9403922296461272,0.887516786360717,0.9999671074271429,noise
ExtraTreesGini_BAG_L1,0.2954614681693573,0.3461812990720914,0.4179233089185696,0.2954614681693573,plug-1
ExtraTreesGini_BAG_L1,0.3229098090849243,0.3817863397548161,0.4669205140409329,0.3229098090849243,plug-2
ExtraTreesGini_BAG_L1,0.29028635597978664,0.34013157894736845,0.4106433677521843,0.29028635597978664,plug-3
ExtraTreesGini_BAG_L1,0.36258240509206635,0.37586897608106523,0.3901663405088063,0.36258240509206635,plug-4
ExtraTreesGini_BAG_L1,0.45404457801152015,0.46220522625876354,0.4706645898234683,0.45404457801152015,plug-5
ExtraTreesGini_BAG_L1,0.2987144790257104,0.3646500103241792,0.46793852676205616,0.2987144790257104,plug-6
ExtraTreesGini_BAG_L1,0.5721409574468085,0.5031795921350778,0.44905414220482714,0.5721409574468085,plug-7
ExtraTreesGini_BAG_L1,0.29952456418383516,0.3584297363929452,0.4461756373937677,0.29952456418383516,plug-8
ExtraTreesGini_BAG_L1,0.432847969380128,0.45253610984582604,0.4896670237517033,0.432847969380128,all
ExtraTreesEntr_BAG_L1,0.9999671074271429,0.9420824295010846,0.8905325443786982,0.9999671074271429,noise
ExtraTreesEntr_BAG_L1,0.2972890648796832,0.347640249332146,0.41852487135506006,0.2972890648796832,plug-1
ExtraTreesEntr_BAG_L1,0.33311389071757735,0.3898305084745763,0.46982358402971214,0.33311389071757735,plug-2
ExtraTreesEntr_BAG_L1,0.2933745087029759,0.3406682966585167,0.4061406917994559,0.2933745087029759,plug-3
ExtraTreesEntr_BAG_L1,0.3584905660377358,0.3712335216572505,0.3849157920429583,0.3584905660377358,plug-4
ExtraTreesEntr_BAG_L1,0.4653143000250438,0.4696069758625047,0.4739795918367347,0.4653143000250438,plug-5
ExtraTreesEntr_BAG_L1,0.3020974289580514,0.3674141123225674,0.4687664041994751,0.3020974289580514,plug-6
ExtraTreesEntr_BAG_L1,0.5543550531914894,0.4910549952146065,0.44072948328267475,0.5543550531914894,plug-7
ExtraTreesEntr_BAG_L1,0.29920760697305865,0.35805044566660343,0.4457034938621341,0.29920760697305865,plug-8
ExtraTreesEntr_BAG_L1,0.4336899474347509,0.45306461496553957,0.48879071742076696,0.4336899474347509,all
XGBoost_BAG_L1,0.9993750411157161,0.9973902338941322,0.9954132948923763,0.9993750411157161,noise
XGBoost_BAG_L1,0.5449284191288456,0.6035762483130904,0.6763705103969754,0.5449284191288456,plug-1
XGBoost_BAG_L1,0.5269914417379855,0.6081671415004748,0.7189043556353839,0.5269914417379855,plug-2
XGBoost_BAG_L1,0.5727119595732735,0.6154774475788203,0.665145092924682,0.5727119595732735,plug-3
XGBoost_BAG_L1,0.6596953853148443,0.6081944881064654,0.5641524105754276,0.6596953853148443,plug-4
XGBoost_BAG_L1,0.6323566240921613,0.619783996072656,0.6077015643802648,0.6323566240921613,plug-5
