Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.5504112092598233,0.6047523427041499,0.6709988860007426,0.5504112092598233,plug-1
LightGBMXT_BAG_L1,0.54312047399605,0.6147540983606558,0.7081545064377682,0.54312047399605,plug-2
LightGBMXT_BAG_L1,0.5617630544637844,0.597313432835821,0.6376673040152964,0.5617630544637844,plug-3
LightGBMXT_BAG_L1,0.6601500340986588,0.6133699440278805,0.5727810650887574,0.6601500340986588,plug-4
LightGBMXT_BAG_L1,0.6341096919609316,0.6158336373586282,0.5985815602836879,0.6341096919609316,plug-5
LightGBMXT_BAG_L1,0.4976319350473613,0.5724849192449892,0.673843334860284,0.4976319350473613,plug-6
LightGBMXT_BAG_L1,0.8050199468085106,0.6612958284973032,0.5611169041825976,0.8050199468085106,plug-7
LightGBMXT_BAG_L1,0.4985736925515055,0.5956077243468384,0.7395392571697226,0.4985736925515055,plug-8
all,0.5938475047733281,0.6094264909220333,0.645335352254857,0.5938475047733281,all
LightGBM_BAG_L1,0.5519342065184283,0.6204417051874679,0.7083659108678655,0.5519342065184283,plug-1
LightGBM_BAG_L1,0.5536537195523371,0.6277290539279716,0.7246876346402413,0.5536537195523371,plug-2
LightGBM_BAG_L1,0.5822571588994947,0.6129747303088517,0.6471138845553822,0.5822571588994947,plug-3
LightGBM_BAG_L1,0.6535576267333485,0.6051357608924437,0.5633940819126004,0.6535576267333485,plug-4
LightGBM_BAG_L1,0.6265965439519159,0.6181593576281657,0.6099463676255485,0.6265965439519159,plug-5
LightGBM_BAG_L1,0.5165764546684709,0.5798367191949877,0.6607529208135007,0.5165764546684709,plug-6
LightGBM_BAG_L1,0.8111702127659575,0.6616949152542373,0.5587359743531028,0.8111702127659575,plug-7
LightGBM_BAG_L1,0.5131537242472266,0.6199502201799731,0.7828820116054158,0.5131537242472266,plug-8
all,0.6011124559171475,0.6182403078217623,0.6569848482967072,0.6011124559171475,all
ExtraTreesGini_BAG_L1,0.4465427962229668,0.45059167050868293,0.45471464019851116,0.4465427962229668,plug-1
ExtraTreesGini_BAG_L1,0.4868334430546412,0.49071001990710017,0.4946488294314381,0.4868334430546412,plug-2
ExtraTreesGini_BAG_L1,0.40707467714766987,0.4288671990535345,0.453125,0.40707467714766987,plug-3
ExtraTreesGini_BAG_L1,0.4423732666515117,0.42788038698328934,0.4143070044709389,0.4423732666515117,plug-4
ExtraTreesGini_BAG_L1,0.47758577510643624,0.4688959921317925,0.46051678338565566,0.47758577510643624,plug-5
ExtraTreesGini_BAG_L1,0.3968200270635995,0.43982002249718793,0.4932716568544996,0.3968200270635995,plug-6
ExtraTreesGini_BAG_L1,0.5088098404255319,0.46165447552974886,0.4224982746721877,0.5088098404255319,plug-7
ExtraTreesGini_BAG_L1,0.3768621236133122,0.4185146075325589,0.4705184012663237,0.3768621236133122,plug-8
all,0.4428627436607086,0.44836679676798685,0.45795007378494434,0.4428627436607086,all
ExtraTreesEntr_BAG_L1,0.4553761803228754,0.45077642092567466,0.4462686567164179,0.4553761803228754,plug-1
ExtraTreesEntr_BAG_L1,0.49144173798551677,0.49087621239519974,0.490311986863711,0.49144173798551677,plug-2
ExtraTreesEntr_BAG_L1,0.41353172375070185,0.43247210804462716,0.4532307692307692,0.41353172375070185,plug-3
ExtraTreesEntr_BAG_L1,0.42850647874516934,0.4174047829937998,0.4068638031513058,0.42850647874516934,plug-4
ExtraTreesEntr_BAG_L1,0.465564738292011,0.4596933728981207,0.45396825396825397,0.465564738292011,plug-5
ExtraTreesEntr_BAG_L1,0.40054127198917455,0.44228614120283904,0.493744787322769,0.40054127198917455,plug-6
ExtraTreesEntr_BAG_L1,0.48038563829787234,0.44095209032651816,0.4075014100394811,0.48038563829787234,plug-7
ExtraTreesEntr_BAG_L1,0.37432646592709984,0.4148226203020724,0.4651437573847972,0.37432646592709984,plug-8
all,0.4387092794138027,0.4436604686361064,0.4521291780846882,0.4387092794138027,all
XGBoost_BAG_L1,0.5494974109046604,0.6037483266398929,0.6698848867434088,0.5494974109046604,plug-1
XGBoost_BAG_L1,0.5497037524687294,0.624415778650215,0.7226308957161403,0.5497037524687294,plug-2
XGBoost_BAG_L1,0.5715889949466592,0.6083968325115792,0.6502714787607793,0.5715889949466592,plug-3
XGBoost_BAG_L1,0.6651511707206184,0.6091391693556781,0.5618279569892473,0.6651511707206184,plug-4
XGBoost_BAG_L1,0.6301026796894565,0.6183337429343819,0.6069963811821472,0.6301026796894565,plug-5
XGBoost_BAG_L1,0.5023680649526387,0.5993945509586277,0.742871435717859,0.5023680649526387,plug-6
XGBoost_BAG_L1,0.8040226063829787,0.6551537315454422,0.5528,0.8040226063829787,plug-7
XGBoost_BAG_L1,0.5074484944532488,0.6018796992481202,0.7394919168591224,0.5074484944532488,plug-8
all,0.5974853968148738,0.6150577289804922,0.655846868996088,0.5974853968148738,all
LightGBMLarge_BAG_L1,0.5491928114529394,0.6237675142708875,0.72177742193755,0.5491928114529394,plug-1
LightGBMLarge_BAG_L1,0.5464121132323897,0.6365030674846626,0.7621671258034894,0.5464121132323897,plug-2
LightGBMLarge_BAG_L1,0.5701852891633914,0.6181707502663216,0.674975074775673,0.5701852891633914,plug-3
LightGBMLarge_BAG_L1,0.6283246192316435,0.6041530054644808,0.5817722584719006,0.6283246192316435,plug-4
LightGBMLarge_BAG_L1,0.5862759829701979,0.6138717713386653,0.6441937259218492,0.5862759829701979,plug-5
LightGBMLarge_BAG_L1,0.486468200270636,0.6106157112526539,0.8198403648802737,0.486468200270636,plug-6
LightGBMLarge_BAG_L1,0.8605385638297872,0.6229093971844543,0.4881199321138978,0.8605385638297872,plug-7
LightGBMLarge_BAG_L1,0.498256735340729,0.6132241076653013,0.7971602434077079,0.498256735340729,plug-8
all,0.5907067894364643,0.6179019156159284,0.6862507684140429,0.5907067894364643,all
WeightedEnsemble_L2,0.5519342065184283,0.6204417051874679,0.7083659108678655,0.5519342065184283,plug-1
WeightedEnsemble_L2,0.5536537195523371,0.6277290539279716,0.7246876346402413,0.5536537195523371,plug-2
WeightedEnsemble_L2,0.5822571588994947,0.6129747303088517,0.6471138845553822,0.5822571588994947,plug-3
WeightedEnsemble_L2,0.6535576267333485,0.6051357608924437,0.5633940819126004,0.6535576267333485,plug-4
WeightedEnsemble_L2,0.6265965439519159,0.6181593576281657,0.6099463676255485,0.6265965439519159,plug-5
WeightedEnsemble_L2,0.5165764546684709,0.5798367191949877,0.6607529208135007,0.5165764546684709,plug-6
WeightedEnsemble_L2,0.8111702127659575,0.6616949152542373,0.5587359743531028,0.8111702127659575,plug-7
WeightedEnsemble_L2,0.5131537242472266,0.6199502201799731,0.7828820116054158,0.5131537242472266,plug-8
