Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.9470429577001513,0.9498861799346772,0.9527465254798146,0.9470429577001513,iot_noise
LightGBMXT_BAG_L1,0.9607262680086837,0.952952691680261,0.9453039031652534,0.9607262680086837,network_noise
LightGBMXT_BAG_L1,0.5312214438014011,0.583961158546794,0.6483271375464684,0.5312214438014011,plug-1
LightGBMXT_BAG_L1,0.5319289005924951,0.5985185185185184,0.6841659610499576,0.5319289005924951,plug-2
LightGBMXT_BAG_L1,0.5592363840539023,0.6000903750564844,0.6473838154046149,0.5592363840539023,plug-3
LightGBMXT_BAG_L1,0.6394635144350989,0.6011325996367133,0.5671370967741935,0.6394635144350989,plug-4
LightGBMXT_BAG_L1,0.6383671424993739,0.6208744367312142,0.6043148411569464,0.6383671424993739,plug-5
LightGBMXT_BAG_L1,0.5274018944519621,0.5993848519800077,0.6941228851291185,0.5274018944519621,plug-6
LightGBMXT_BAG_L1,0.78125,0.6465369007497077,0.5514490202980171,0.78125,plug-7
LightGBMXT_BAG_L1,0.4919175911251981,0.5830202854996244,0.7155371138773629,0.4919175911251981,plug-8
all,0.8260695120835334,0.8420447497917504,0.8763110374852184,0.8260695120835334,all
LightGBM_BAG_L1,0.9732912308400763,0.9658571615093354,0.9585357952704892,0.9732912308400763,iot_noise
LightGBM_BAG_L1,0.966383790540096,0.9690932480126663,0.9718179412543001,0.966383790540096,network_noise
LightGBM_BAG_L1,0.534876637222053,0.6016789446633545,0.687548942834769,0.534876637222053,plug-1
LightGBM_BAG_L1,0.5309414088215931,0.6135412704450361,0.7265765765765766,0.5309414088215931,plug-2
LightGBM_BAG_L1,0.570466030320045,0.6080191502094554,0.6508648302370276,0.570466030320045,plug-3
LightGBM_BAG_L1,0.6606046828824733,0.6131448465027957,0.5720472440944881,0.6606046828824733,plug-4
LightGBM_BAG_L1,0.6433759078387178,0.616954851104707,0.5926182237600923,0.6433759078387178,plug-5
LightGBM_BAG_L1,0.5334912043301759,0.6143358005453838,0.7240587695133149,0.5334912043301759,plug-6
LightGBM_BAG_L1,0.7933843085106383,0.6510707952530351,0.5520471894517696,0.7933843085106383,plug-7
LightGBM_BAG_L1,0.5033280507131537,0.6023136734306845,0.7497639282341831,0.5033280507131537,plug-8
all,0.8387679065023776,0.8570012177095568,0.8982349301533763,0.8387679065023776,all
ExtraTreesGini_BAG_L1,0.8327741595947635,0.8487713299138423,0.8653951326223681,0.8327741595947635,iot_noise
ExtraTreesGini_BAG_L1,0.9619761857772515,0.8765735523318546,0.8050982767164014,0.9619761857772515,network_noise
ExtraTreesGini_BAG_L1,0.35211696618946087,0.4027172966382163,0.47030105777054515,0.35211696618946087,plug-1
ExtraTreesGini_BAG_L1,0.3979591836734694,0.44736355226642,0.5107731305449936,0.3979591836734694,plug-2
ExtraTreesGini_BAG_L1,0.33885457608085345,0.39029911075181895,0.46016012199771256,0.33885457608085345,plug-3
ExtraTreesGini_BAG_L1,0.42282336894748807,0.4246090628923639,0.4264099037138927,0.42282336894748807,plug-4
ExtraTreesGini_BAG_L1,0.48810418231905833,0.4931056293485136,0.49821063394683024,0.48810418231905833,plug-5
ExtraTreesGini_BAG_L1,0.3301759133964817,0.40658196209123093,0.5289972899728997,0.3301759133964817,plug-6
ExtraTreesGini_BAG_L1,0.679188829787234,0.5664771939553583,0.48585017835909633,0.679188829787234,plug-7
ExtraTreesGini_BAG_L1,0.31980982567353405,0.38874975919861293,0.4955795677799607,0.31980982567353405,plug-8
all,0.6404728989299494,0.6556560561735291,0.6933469116780876,0.6404728989299494,all
ExtraTreesEntr_BAG_L1,0.8179067166633774,0.851050722157574,0.8869943639865877,0.8179067166633774,iot_noise
