Model,Accuracy,F1,Precision,Recall,Device
LightGBMXT_BAG_L1,0.39841608285105085,0.45822385706778773,0.5391591096455071,0.39841608285105085,plug-1
LightGBMXT_BAG_L1,0.38018433179723504,0.44802172226532205,0.5453257790368272,0.38018433179723504,plug-2
LightGBMXT_BAG_L1,0.4702414373947221,0.4950495049504951,0.5226209048361935,0.4702414373947221,plug-3
LightGBMXT_BAG_L1,0.5411550704865848,0.5071923281832712,0.47724082614798474,0.5411550704865848,plug-4
LightGBMXT_BAG_L1,0.49211119459053343,0.4778115501519757,0.4643194706994329,0.49211119459053343,plug-5
LightGBMXT_BAG_L1,0.3704330175913397,0.46027742749054235,0.6076581576026637,0.3704330175913397,plug-6
LightGBMXT_BAG_L1,0.7042885638297872,0.5557814652062701,0.45899685841187304,0.7042885638297872,plug-7
LightGBMXT_BAG_L1,0.40031695721077654,0.4547254725472547,0.52625,0.40031695721077654,plug-8
all,0.4696433319690037,0.4821354159828649,0.5176963882975603,0.4696433319690037,all
LightGBM_BAG_L1,0.4087724642095644,0.47087719298245617,0.555233760860571,0.4087724642095644,plug-1
LightGBM_BAG_L1,0.39038841342988806,0.460671975140804,0.561819043107532,0.39038841342988806,plug-2
LightGBM_BAG_L1,0.4691184727681078,0.4996262520556138,0.534377998081228,0.4691184727681078,plug-3
LightGBM_BAG_L1,0.5438835834470214,0.509098648504842,0.478495699139828,0.5438835834470214,plug-4
LightGBM_BAG_L1,0.500626095667418,0.4851941747572816,0.4706851895455616,0.500626095667418,plug-5
LightGBM_BAG_L1,0.37144790257104193,0.46358454718176056,0.6165075800112296,0.37144790257104193,plug-6
LightGBM_BAG_L1,0.7157579787234043,0.5610057976679044,0.4612747723620782,0.7157579787234043,plug-7
LightGBM_BAG_L1,0.4183835182250396,0.4766203285791659,0.5536912751677853,0.4183835182250396,plug-8
all,0.4772973036301857,0.4908348646087285,0.5290106647844767,0.4772973036301857,all
ExtraTreesGini_BAG_L1,0.29637526652452023,0.3211221122112211,0.3503781058696435,0.29637526652452023,plug-1
ExtraTreesGini_BAG_L1,0.2705727452271231,0.3164581328200192,0.3810848400556328,0.2705727452271231,plug-2
ExtraTreesGini_BAG_L1,0.34531162268388543,0.34997865983781473,0.3547735794635131,0.34531162268388543,plug-3
ExtraTreesGini_BAG_L1,0.32401091405184174,0.3170541773278452,0.3103898932694402,0.32401091405184174,plug-4
ExtraTreesGini_BAG_L1,0.29251189581768094,0.2993336750384419,0.3064812385200735,0.29251189581768094,plug-5
ExtraTreesGini_BAG_L1,0.3474289580514208,0.35567099567099564,0.36431358637814826,0.3474289580514208,plug-6
ExtraTreesGini_BAG_L1,0.47589760638297873,0.3997207678883072,0.34456613310867734,0.47589760638297873,plug-7
ExtraTreesGini_BAG_L1,0.2833597464342314,0.3178666666666667,0.36194331983805667,0.2833597464342314,plug-8
all,0.32943359439671027,0.33465064843266396,0.34674133706289817,0.32943359439671027,all
ExtraTreesEntr_BAG_L1,0.3003350593968931,0.3246090534979424,0.3531518624641834,0.3003350593968931,plug-1
ExtraTreesEntr_BAG_L1,0.26201448321263987,0.303411473222794,0.36034404708012674,0.26201448321263987,plug-2
ExtraTreesEntr_BAG_L1,0.3523301516002246,0.3506566079910589,0.34899888765294773,0.3523301516002246,plug-3
ExtraTreesEntr_BAG_L1,0.3224192814915871,0.31402945410253574,0.3060651845456508,0.3224192814915871,plug-4
ExtraTreesEntr_BAG_L1,0.2930127723516153,0.30034655371582597,0.3080568720379147,0.2930127723516153,plug-5
ExtraTreesEntr_BAG_L1,0.3531799729364005,0.35522286492004085,0.35728952772073924,0.3531799729364005,plug-6
ExtraTreesEntr_BAG_L1,0.42121010638297873,0.36329749103942655,0.3193849256365011,0.42121010638297873,plug-7
ExtraTreesEntr_BAG_L1,0.2827258320126783,0.3145275035260931,0.3543901470003973,0.2827258320126783,plug-8
all,0.3234034574231272,0.3282626252519647,0.3384601817673076,0.3234034574231272,all
