C_UC,accum,window,combo,acc,bal_acc,f1
1.0,128.0,4.0,2.0,0.7137,0.3686,0.7093
1.0,128.0,4.0,3.0,0.5995,0.3188,0.5899
1.0,128.0,4.0,4.0,0.5825,0.3183,0.5605
1.0,128.0,5.0,2.0,0.7111,0.3644,0.7071
1.0,128.0,5.0,3.0,0.589,0.2968,0.5756
1.0,128.0,5.0,4.0,0.5425,0.2881,0.5169
1.0,128.0,5.0,5.0,0.5629,0.3272,0.518
1.0,128.0,6.0,2.0,0.7119,0.3636,0.708
1.0,128.0,6.0,3.0,0.5944,0.3052,0.5824
1.0,128.0,6.0,4.0,0.5999,0.3059,0.5859
1.0,128.0,6.0,5.0,0.5551,0.3226,0.5245
1.0,128.0,6.0,6.0,0.5921,0.3577,0.5627
1.0,256.0,4.0,2.0,0.8362,0.468,0.8344
1.0,256.0,4.0,3.0,0.7493,0.4391,0.7441
1.0,256.0,4.0,4.0,0.6889,0.421,0.6823
1.0,256.0,5.0,2.0,0.8239,0.4412,0.8225
1.0,256.0,5.0,3.0,0.7305,0.4061,0.7257
1.0,256.0,5.0,4.0,0.6598,0.3921,0.6413
1.0,256.0,5.0,5.0,0.646,0.3994,0.6285
1.0,256.0,6.0,2.0,0.8332,0.4413,0.8313
1.0,256.0,6.0,3.0,0.7156,0.3788,0.7081
1.0,256.0,6.0,4.0,0.6764,0.3884,0.6663
1.0,256.0,6.0,5.0,0.6836,0.41,0.6671
1.0,256.0,6.0,6.0,0.6503,0.4301,0.633
1.0,512.0,4.0,2.0,0.8837,0.5281,0.8841
1.0,512.0,4.0,3.0,0.8325,0.5045,0.8314
1.0,512.0,4.0,4.0,0.7979,0.496,0.7963
1.0,512.0,5.0,2.0,0.8821,0.4964,0.8822
1.0,512.0,5.0,3.0,0.7874,0.4455,0.7859
1.0,512.0,5.0,4.0,0.7663,0.4769,0.7624
1.0,512.0,5.0,5.0,0.7438,0.478,0.7377
1.0,512.0,6.0,2.0,0.8712,0.4804,0.8716
