C_UC,accum,window,combo,acc,bal_acc,f1
1.0,128.0,4.0,2.0,0.4738,0.4512,0.4699
1.0,128.0,4.0,3.0,0.476,0.4493,0.4722
1.0,128.0,4.0,4.0,0.5001,0.473,0.4963
1.0,128.0,5.0,2.0,0.4737,0.4507,0.4694
1.0,128.0,5.0,3.0,0.4768,0.4494,0.4735
1.0,128.0,5.0,4.0,0.4801,0.4502,0.4767
1.0,128.0,5.0,5.0,0.5141,0.4894,0.5171
1.0,128.0,6.0,2.0,0.4764,0.4519,0.4721
1.0,128.0,6.0,3.0,0.4732,0.4451,0.4697
1.0,128.0,6.0,4.0,0.4825,0.4529,0.4805
1.0,128.0,6.0,5.0,0.5025,0.4769,0.5029
1.0,128.0,6.0,6.0,0.5229,0.5005,0.5279
1.0,256.0,4.0,2.0,0.5541,0.5303,0.5506
1.0,256.0,4.0,3.0,0.5527,0.5303,0.5495
1.0,256.0,4.0,4.0,0.5637,0.5466,0.5635
1.0,256.0,5.0,2.0,0.5463,0.5225,0.5429
1.0,256.0,5.0,3.0,0.5504,0.5291,0.5475
1.0,256.0,5.0,4.0,0.5481,0.5283,0.5476
1.0,256.0,5.0,5.0,0.5559,0.5392,0.5587
1.0,256.0,6.0,2.0,0.5499,0.5266,0.5469
1.0,256.0,6.0,3.0,0.5495,0.5269,0.547
1.0,256.0,6.0,4.0,0.5444,0.5223,0.5432
1.0,256.0,6.0,5.0,0.5536,0.5352,0.5543
1.0,256.0,6.0,6.0,0.5487,0.5316,0.5533
1.0,512.0,4.0,2.0,0.6,0.5788,0.5981
1.0,512.0,4.0,3.0,0.5991,0.5802,0.5977
1.0,512.0,4.0,4.0,0.6018,0.5873,0.6019
1.0,512.0,5.0,2.0,0.597,0.5743,0.5945
1.0,512.0,5.0,3.0,0.5904,0.57,0.5885
1.0,512.0,5.0,4.0,0.5974,0.5793,0.5964
1.0,512.0,5.0,5.0,0.5901,0.5747,0.591
1.0,512.0,6.0,2.0,0.5927,0.5706,0.5903
1.0,512.0,6.0,3.0,0.5921,0.5728,0.5908
1.0,512.0,6.0,4.0,0.5876,0.5673,0.5859
1.0,512.0,6.0,5.0,0.5943,0.5779,0.5946
1.0,512.0,6.0,6.0,0.5762,0.5603,0.5792
1.0,1024.0,4.0,2.0,0.6129,0.5952,0.6118
1.0,1024.0,4.0,3.0,0.6119,0.5966,0.6114
1.0,1024.0,4.0,4.0,0.6138,0.6001,0.6137
1.0,1024.0,5.0,2.0,0.6117,0.5928,0.6103
1.0,1024.0,5.0,3.0,0.6121,0.5957,0.611
1.0,1024.0,5.0,4.0,0.6146,0.5996,0.6143
1.0,1024.0,5.0,5.0,0.6135,0.5986,0.6135
1.0,1024.0,6.0,2.0,0.6124,0.5936,0.611
1.0,1024.0,6.0,3.0,0.6094,0.5917,0.6081
1.0,1024.0,6.0,4.0,0.6058,0.5908,0.6055
1.0,1024.0,6.0,5.0,0.6126,0.5973,0.6121
1.0,1024.0,6.0,6.0,0.6041,0.5887,0.6051
0.0,128.0,4.0,2.0,0.5816,0.5704,0.5824
0.0,128.0,4.0,3.0,0.5634,0.5399,0.5564
0.0,128.0,4.0,4.0,0.6013,0.5905,0.5986
0.0,128.0,5.0,2.0,0.5708,0.5602,0.5714
0.0,128.0,5.0,3.0,0.5104,0.4885,0.5045
0.0,128.0,5.0,4.0,0.4994,0.4763,0.4918
0.0,128.0,5.0,5.0,0.4981,0.4693,0.4889
0.0,128.0,6.0,2.0,0.5683,0.5544,0.5678
0.0,128.0,6.0,3.0,0.488,0.463,0.4836
0.0,128.0,6.0,4.0,0.3893,0.3546,0.3702
